127.0.0.1 - - [03/Aug/2021:09:28:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Aug/2021:09:28:58 +0900] "GET /jsp_community_2021/ HTTP/1.1" 302 3
0:0:0:0:0:0:0:1 - - [03/Aug/2021:09:28:59 +0900] "GET /jsp_community_2021/usr/home/main HTTP/1.1" 200 12218
0:0:0:0:0:0:0:1 - - [03/Aug/2021:09:28:59 +0900] "GET /jsp_community_2021/resource/font.css HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [03/Aug/2021:09:28:59 +0900] "GET /jsp_community_2021/resource/common.css HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [03/Aug/2021:09:28:59 +0900] "GET /jsp_community_2021/resource/common.js HTTP/1.1" 200 1753
0:0:0:0:0:0:0:1 - - [03/Aug/2021:09:28:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Aug/2021:09:29:02 +0900] "GET /jsp_community_2021/usr/member/join HTTP/1.1" 200 15848
0:0:0:0:0:0:0:1 - - [03/Aug/2021:09:29:05 +0900] "GET /jsp_community_2021/usr/article/write HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [03/Aug/2021:09:29:06 +0900] "GET /jsp_community_2021/usr/member/login?afterLoginUri=%2Fjsp_community_2021%2Fusr%2Farticle%2Fwrite HTTP/1.1" 200 11699
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:15:27 +0900] "GET /jsp_community_2021/ HTTP/1.1" 302 3
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:15:27 +0900] "GET /jsp_community_2021/usr/home/main HTTP/1.1" 200 12218
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:15:27 +0900] "GET /jsp_community_2021/resource/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:15:27 +0900] "GET /jsp_community_2021/resource/font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:15:27 +0900] "GET /jsp_community_2021/resource/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:40:51 +0900] "GET /jsp_community_2021/usr/article/list?boardId=2 HTTP/1.1" 200 30392
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:40:51 +0900] "GET /jsp_community_2021/resource/common.css HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:40:51 +0900] "GET /jsp_community_2021/resource/font.css HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [03/Aug/2021:11:40:51 +0900] "GET /jsp_community_2021/resource/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2021:12:15:02 +0900] "GET /jsp_community_2021/ HTTP/1.1" 302 3
0:0:0:0:0:0:0:1 - - [03/Aug/2021:12:15:02 +0900] "GET /jsp_community_2021/usr/home/main HTTP/1.1" 200 12218
0:0:0:0:0:0:0:1 - - [03/Aug/2021:12:15:02 +0900] "GET /jsp_community_2021/resource/common.css HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [03/Aug/2021:12:15:02 +0900] "GET /jsp_community_2021/resource/font.css HTTP/1.1" 200 1095
0:0:0:0:0:0:0:1 - - [03/Aug/2021:12:15:02 +0900] "GET /jsp_community_2021/resource/common.js HTTP/1.1" 304 -
